dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
12/14/2020,14,12,2020,3558,98,Argentina,AR,ARG,44780675.0,America,177.23270138
12/13/2020,13,12,2020,5274,62,Argentina,AR,ARG,44780675.0,America,181.41754228
12/12/2020,12,12,2020,7112,175,Argentina,AR,ARG,44780675.0,America,183.25762173
12/11/2020,11,12,2020,6994,209,Argentina,AR,ARG,44780675.0,America,184.89672163
12/10/2020,10,12,2020,5303,213,Argentina,AR,ARG,44780675.0,America,189.47235609999998
12/9/2020,9,12,2020,3610,121,Argentina,AR,ARG,44780675.0,America,196.81927528
12/8/2020,8,12,2020,3216,118,Argentina,AR,ARG,44780675.0,America,205.35867313
12/7/2020,7,12,2020,3278,138,Argentina,AR,ARG,44780675.0,America,207.10496213
12/6/2020,6,12,2020,5201,120,Argentina,AR,ARG,44780675.0,America,209.12145697
12/5/2020,5,12,2020,6899,207,Argentina,AR,ARG,44780675.0,America,213.45814908
12/4/2020,4,12,2020,7625,149,Argentina,AR,ARG,44780675.0,America,219.4719039
12/3/2020,3,12,2020,7535,228,Argentina,AR,ARG,44780675.0,America,225.02117264
12/2/2020,2,12,2020,8037,198,Argentina,AR,ARG,44780675.0,America,231.26717049
12/1/2020,1,12,2020,5724,257,Argentina,AR,ARG,44780675.0,America,237.03751674
11/30/2020,30,11,2020,5432,164,Argentina,AR,ARG,44780675.0,America,241.88559016
11/29/2020,29,11,2020,6098,106,Argentina,AR,ARG,44780675.0,America,242.36124176
11/28/2020,28,11,2020,7846,262,Argentina,AR,ARG,44780675.0,America,247.65370330000002
11/27/2020,27,11,2020,9043,240,Argentina,AR,ARG,44780675.0,America,256.61515821
11/26/2020,26,11,2020,8593,269,Argentina,AR,ARG,44780675.0,America,261.34711011
11/25/2020,25,11,2020,7434,310,Argentina,AR,ARG,44780675.0,America,266.45422384
11/24/2020,24,11,2020,3998,120,Argentina,AR,ARG,44780675.0,America,276.59699189
11/23/2020,23,11,2020,4181,100,Argentina,AR,ARG,44780675.0,America,286.24177728
11/22/2020,22,11,2020,7143,112,Argentina,AR,ARG,44780675.0,America,288.80984934
11/21/2020,21,11,2020,9592,258,Argentina,AR,ARG,44780675.0,America,290.80624622
11/20/2020,20,11,2020,10110,185,Argentina,AR,ARG,44780675.0,America,295.70568108
11/19/2020,19,11,2020,10332,241,Argentina,AR,ARG,44780675.0,America,297.91645615
11/18/2020,18,11,2020,10621,379,Argentina,AR,ARG,44780675.0,America,298.63105011
11/17/2020,17,11,2020,7895,291,Argentina,AR,ARG,44780675.0,America,302.03430386
11/16/2020,16,11,2020,5645,129,Argentina,AR,ARG,44780675.0,America,305.83728361
11/15/2020,15,11,2020,8468,262,Argentina,AR,ARG,44780675.0,America,307.98999792
11/14/2020,14,11,2020,11859,263,Argentina,AR,ARG,44780675.0,America,310.84167445
11/13/2020,13,11,2020,11162,251,Argentina,AR,ARG,44780675.0,America,315.52226491
